[真相] 2000元的5000獎又少一張囉,9,1/29
[真相] 今年完全輸爛,12,1/29
[真相] 2000刮刮,12,1/29
[報牌] 蛇燦年發539,15,1/29
[真相] 500元財神發紅包,14,1/29
[真相] 2000呱呱,6,1/29
[真相] 大年初一 全部差一,3,1/29
[真相] 一本100元蛇年行大運,6,1/30
[真相] 500元 財神發紅包,10,1/30
[報牌] 虎斑法鬥 39 二合,1,1/30
[報牌] 蛇燦年發539,8,1/30
[閒聊] 12 強背號加持的刮刮樂,,1/30
100刮刮歡樂啦,27,1/30
[報牌] 539二合,,1/31
[報牌] 虎斑法鬥 39 二合,,1/31
[真相] 招財進寶,1,1/31
[情報] 樂透小常識 (編修:2019/05/01),33,2/13
[公告] 樂透版版規 2016.08.21,4,8/21
Re: [閒聊] 刮刮樂機率分析彙整,8,1/04
Re: [閒聊] 玄,,1/25
[報牌] 虎斑法鬥 49 二合,,1/26
[真相] 招財進寶500,10,1/26
[真相]  賓果六星,21,1/26
1000刮刮,32,1/26
[報牌] 539、649,1,1/26
[報牌] 蛇燦年發539,5,1/26
[報牌] 虎斑法鬥 39 二合,1,1/27
[報牌]過年 539,,1/27
[報牌] 蛇燦年發539,12,1/27
[真相] 兩千不要玩,64,1/27
(本文已被刪除) [mark6101],3,1/27
[問題] 請問大樂透加碼qr,1,1/28
[報牌] 虎斑法鬥 39 二合,1,1/28
[報牌] 蛇燦年發539,10,1/28
[真相] 賓果三星,2,1/28
[真相] 1200萬大吉利一本,10,1/28
[報牌] 虎斑法鬥 39 二合,1,1/29
[討論] 賓果1/27-1/28戰績,2,1/29
[真相] 2000刮刮,8,1/29
[報牌] 539老朋友、34星,3,1/21
Re: [討論] 賓果一星押很大有沒有搞頭,3,1/21
[報牌] 蛇燦年發539,12,1/22
[報牌] 蛇燦年發法鬥幸運39二三合,2,1/22
[報牌] 虎斑法鬥 39 二合,1,1/23
[報牌] 蛇燦年發法鬥539 二三合,1,1/23
[報牌] 蛇燦年發539,9,1/23
[報牌] 威力、三四星,,1/23
[報牌] 蛇燦年發539,15,1/24
[報牌] 老朋友539、34星,,1/24
[討論] Bingo戰績,3,1/24
[閒聊] 2000元頭獎被中一張了,4,1/24
Re: [新聞] 大樂透春節加碼 加開480組百萬及...,1,1/25
[真相] 賓果四星全壘打,8,1/25
[真相] 39樂合,5,1/25
[報牌] 39樂合,1,1/25
[報牌] 蛇燦年發539,9,1/25
[報牌] 虎斑法鬥 39 二合,,1/25
[真相] 2000刮刮,9,1/25
[真相] 1000刮刮,8,1/25
